trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1437,False,"{'a': 0.001, 'e': 0.13438848816708632}",25,19,12.001742663149994,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1438,False,"{'a': 0.001, 'e': 0.1333974924149108}",25,14,12.616474107766773,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1439,False,"{'a': 0.001, 'e': 0.1324063632652542}",25,8,-7.080955850313105,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1440,False,"{'a': 0.001, 'e': 0.13141510170924514}",30,22,14.359415526756443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1441,False,"{'a': 0.001, 'e': 0.13042370873814554}",25,13,20.331661753227436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1442,False,"{'a': 0.001, 'e': 0.12943218534334786}",20,12,17.385093443975173,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1443,False,"{'a': 0.001, 'e': 0.12844053251637585}",20,3,-15.893883284945359,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1444,False,"{'a': 0.001, 'e': 0.1274487512488818}",30,8,-7.145091159416447,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
1445,False,"{'a': 0.001, 'e': 0.12645684253264733}",25,11,9.551883467819943,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1446,False,"{'a': 0.001, 'e': 0.12546480735958065}",20,12,3.0495400986540417,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1447,False,"{'a': 0.001, 'e': 0.12447264672171729}",20,14,11.328780186826581,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1448,False,"{'a': 0.001, 'e': 0.12348036161121737}",25,8,18.57193838494998,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1449,False,"{'a': 0.001, 'e': 0.12248795302036633}",30,23,3.0889161301681147,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1450,False,"{'a': 0.001, 'e': 0.12149542194157227}",25,13,0.5328628243926963,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
1451,False,"{'a': 0.001, 'e': 0.12050276936736662}",30,21,17.376787214804942,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1452,False,"{'a': 0.001, 'e': 0.1195099962904014}",25,5,21.161156872444682,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
1453,False,"{'a': 0.001, 'e': 0.11851710370345009}",25,14,18.84223605726892,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1454,False,"{'a': 0.001, 'e': 0.11752409259940473}",25,16,16.7621955747435,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1455,False,"{'a': 0.001, 'e': 0.11653096397127678}",30,12,2.870185198282628,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
1456,False,"{'a': 0.001, 'e': 0.11553771881219435}",20,12,13.455062127412173,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1457,False,"{'a': 0.001, 'e': 0.11454435811540296}",25,11,27.718116367211984,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1458,False,"{'a': 0.001, 'e': 0.11355088287426278}",20,10,16.81647199402798,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1459,False,"{'a': 0.001, 'e': 0.1125572940822494}",20,3,17.72116397086105,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
